BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;samples=146;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;63;399.84;1.020;1.016;118;116.1;4999.7;554.4;10;8;2250;27.611;21.891;98.250;8.40;9;9;9
BENCH;64;400.86;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;43.092;21.859;108.599;8.50;9;9;9
BENCH;65;401.88;1.020;1.026;113;110.2;4999.7;554.4;26;8;5850;69.769;21.942;138.070;7.23;9;9;9
BENCH;66;402.90;1.020;1.016;115;113.2;4999.7;554.4;18;8;4050;48.711;21.712;115.509;8.22;9;9;9
BENCH;67;403.92;1.020;1.027;121;117.9;4999.7;554.4;8;0;1800;21.111;0.000;83.803;8.00;8;9;9
BENCH;68;404.94;1.020;1.015;116;114.3;4999.7;554.4;16;8;3600;43.778;22.305;116.988;8.00;9;9;9
BENCH;69;405.96;1.020;1.016;113;111.2;4999.7;554.4;24;8;5400;65.569;22.739;131.504;8.00;9;9;9
BENCH;70;406.98;1.020;1.026;119;116.0;4999.7;554.4;10;8;2250;27.397;21.976;97.714;8.40;9;9;9
BENCH;71;408.00;1.020;1.016;117;115.1;4999.7;554.4;16;8;3600;43.021;21.972;109.375;8.50;9;9;9
BENCH;72;409.02;1.020;1.023;120;117.3;4999.7;554.4;10;0;2250;26.562;0.000;91.483;7.60;8;9;9
BENCH;73;410.04;1.020;1.020;120;117.7;4999.7;554.4;10;8;2250;27.346;21.994;97.484;8.40;9;9;9
BENCH;74;411.06;1.020;1.015;116;114.2;4999.7;554.4;16;8;3600;43.204;22.171;107.452;8.50;9;9;9
BENCH;75;412.08;1.020;1.020;117;114.7;4999.7;554.4;16;8;3600;43.244;22.017;110.914;8.00;9;9;9
BENCH;76;413.10;1.020;1.033;119;115.2;4999.7;554.4;16;8;3600;42.799;21.650;105.246;8.50;9;9;9
BENCH;77;414.12;1.020;1.006;118;117.3;4999.7;554.4;8;0;1800;21.753;0.000;90.560;8.00;8;9;9
BENCH;78;415.14;1.020;1.024;120;117.2;4999.7;554.4;8;8;1800;21.565;21.565;87.197;9.00;9;9;9
