BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;samples=146;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;63;399.90;1.020;1.018;118;115.9;4999.7;554.4;10;8;2250;27.405;22.101;98.878;8.40;9;9;9
BENCH;64;400.92;1.020;1.034;115;111.3;4999.7;554.4;24;8;5400;65.368;23.173;131.993;7.67;9;9;9
BENCH;65;401.94;1.020;1.009;115;114.0;4999.7;554.4;18;8;4050;48.586;21.991;118.323;7.78;9;9;9
BENCH;66;402.96;1.020;1.024;117;114.3;4999.7;554.4;18;8;4050;48.230;21.965;115.175;8.22;9;9;9
BENCH;67;403.98;1.020;1.018;120;117.9;4999.7;554.4;8;0;1800;21.452;0.000;85.169;8.00;8;9;9
BENCH;68;405.00;1.020;1.015;116;114.3;4999.7;554.4;16;8;3600;43.831;21.931;114.442;8.00;9;9;9
BENCH;69;406.02;1.020;1.025;114;111.2;4999.7;554.4;24;8;5400;64.151;22.119;131.707;8.00;9;9;9
BENCH;70;407.04;1.020;1.018;120;117.8;4999.7;554.4;10;8;2250;27.303;21.956;97.781;8.40;9;9;9
BENCH;71;408.06;1.020;1.016;116;114.1;4999.7;554.4;16;8;3600;42.958;21.942;110.598;8.50;9;9;9
BENCH;72;409.08;1.020;1.026;121;117.9;4999.7;554.4;10;0;2250;26.163;0.000;94.191;7.60;8;9;9
BENCH;73;410.10;1.020;1.014;118;116.3;4999.7;554.4;10;8;2250;27.280;21.949;95.847;8.40;9;9;9
BENCH;74;411.12;1.020;1.024;117;114.2;4999.7;554.4;16;8;3600;43.128;21.958;109.876;8.50;9;9;9
BENCH;75;412.14;1.020;1.017;116;114.0;4999.7;554.4;16;8;3600;43.316;22.046;112.704;8.00;9;9;9
BENCH;76;413.16;1.020;1.020;116;113.7;4999.7;554.4;16;8;3600;43.400;22.269;107.583;8.50;9;9;9
BENCH;77;414.18;1.020;1.022;121;118.4;4999.7;554.4;8;0;1800;20.840;0.000;87.367;8.00;8;9;9
BENCH;78;415.20;1.020;1.033;118;114.2;4999.7;554.4;16;8;3600;43.346;21.677;110.568;6.50;9;9;9
BENCH;79;416.22;1.020;1.009;106;105.1;4999.7;554.4;40;8;9000;106.757;21.770;173.501;7.40;9;9;9
BENCH;80;417.24;1.020;1.017;118;116.1;4999.7;554.4;10;8;2250;27.326;21.905;96.176;8.40;9;9;9
BENCH;81;418.26;1.020;1.025;124;121.0;4999.7;554.4;2;0;450;5.373;0.000;68.968;6.00;6;9;9
BENCH;82;419.28;1.020;1.034;119;115.1;4999.7;554.4;16;8;3600;42.425;21.566;114.330;8.50;9;9;9
BENCH;83;420.30;1.020;1.016;116;114.2;4999.7;554.4;16;8;3600;44.170;22.319;114.906;8.50;9;9;9
BENCH;84;421.32;1.020;1.034;115;111.2;4999.7;554.4;24;8;5400;66.346;21.937;133.915;7.67;9;9;9
BENCH;85;422.34;1.020;1.010;118;116.8;4999.7;554.4;12;8;2700;32.973;21.928;101.832;7.00;9;9;9
